PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-01-14,MERIDIAN CENTER ELECTRIC INC,106,Southwest Bellevue,West Bellevue,47.601991,-122.207823
2016,Single family,Vehicle charging station,2017-02-16,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.600693,-122.204173
2013,Single family,A Single Family Residential New Structure Project Installing {1 Vehicle Charging Station},2013-06-13,MR ELECTRIC OF GREATER SEATTLE,105,Northeast Bellevue,Northeast Bellevue,47.643022,-122.116864
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage",2012-11-09,PUGET SOUND SOLAR LLC,102,Southwest Bellevue,West Bellevue,47.593837,-122.205289
2015,Single family,Vehicle Charging Station,2015-07-13,NORTHWEST ELECTRIC & SOLAR,108,Northeast Bellevue,Northeast Bellevue,47.632669,-122.1191
2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-07-25,IN-HOUSE ELECTRICAL SRVCS INC,110,Bridle Trails,Bridle Trails,47.643618,-122.178673
2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-10-11,POINTER ELECTRIC INC,110,Newcastle,Cougar Mountain / Lakemont,47.555595,-122.145179
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage",2014-07-07,LADY ELECTRIC LLC,105,Southwest Bellevue,West Bellevue,47.59516,-122.203273
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, EVSE located in garage",2011-11-01,PUGET SOUND SOLAR LLC,98,Northeast Bellevue,Northeast Bellevue,47.619058,-122.099627
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-08,PUGET SOUND SOLAR LLC,105,Newcastle,Cougar Mountain / Lakemont,47.561396,-122.127399
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-04-08,ELECTRI-CITY INC,110,Factoria,Newport,47.570905,-122.192523
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-01-16,123 Electric Service Inc,115,Eastgate,Lake Hills,47.58903,-122.131697
2016,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-03,Exact Electric LLC,110,Southeast Bellevue,Lake Hills,47.603415,-122.117794
2016,Single family,Install Vehicle Charging Station,2017-03-23,NORTHWEST ELECTRIC & SOLAR,110,Bridle Trails,Bridle Trails,47.634169,-122.150924
2016,Single family,Vehicle charging station,2016-10-21,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.59888,-122.203564
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), In garage, installed 50amp receptacle for charging electric car in garage",2013-11-14,Volt-Tech Electrical Services,105,Newcastle,Cougar Mountain / Lakemont,47.564789,-122.128745
2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-01-17,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Eastgate,47.571,-122.121444
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-12-11,NORTHWEST ELECTRIC & SOLAR,108,Bridle Trails,Bridle Trails,47.634025,-122.155952
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-24,ELECTRI-CITY INC,112,Newcastle,Cougar Mountain / Lakemont,47.543649,-122.113126
2015,Single family,Vehicle Charging Station and added/altered branch circuits.,2015-06-17,NORTHWEST ELECTRIC & SOLAR,108,Northeast Bellevue,Northeast Bellevue,47.642021,-122.114974
2010,Single family,A Single-Family Alteration project installing { Receptacles }  - JOB#2761 [WAR-0013] - INSTALL EV CHARGING STATION,2010-12-21,EVERGREEN POWER SYSTEMS INC,87,Newcastle,Cougar Mountain / Lakemont,47.551829,-122.100846
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-06,DICK HOWARD & SONS ELECT INC,112,Newcastle,Cougar Mountain / Lakemont,47.546455,-122.132212
2011,Single family,A Single-Family Alteration project installing   - In-home electric vehicle charger installation.  Install 110 circuit.,2011-04-07,PRIME ELECTRIC INC,68,North Bellevue,Northwest Bellevue,47.63512,-122.19963
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2014-03-28,ACTIVE ENGINEERING,105,Bridle Trails,Bridle Trails,47.656361,-122.157697
